chr,locus,model,start,stop,ori,is_TE,is_expressed,is_representative,annotation
Chr3,LOC_Os03g01160,LOC_Os03g01160.2,110086,114398,-,N,Y,Y,protein kinase family protein  putative  expressed
Chr3,LOC_Os03g01170,LOC_Os03g01170.1,115789,119092,-,N,Y,Y,transporter family protein  putative  expressed
Chr3,LOC_Os03g01180,LOC_Os03g01180.1,120877,122838,-,N,Y,Y,phosphoglycerate mutase  putative  expressed
Chr3,LOC_Os03g01190,LOC_Os03g01190.1,122870,125144,-,N,Y,Y,dehydrogenase  putative  expressed
Chr3,LOC_Os03g01200,LOC_Os03g01200.1,125320,132789,-,Y,Y,Y,SNF2 family N-terminal domain containing protein  expressed
Chr3,LOC_Os03g01210,LOC_Os03g01210.3,135224,136761,+,N,Y,N,uncharacterized Cys-rich domain containing protein  putative  expressed
Chr3,LOC_Os03g01210,LOC_Os03g01210.1,135224,137675,+,N,Y,Y,uncharacterized Cys-rich domain containing protein  putative  expressed
Chr3,LOC_Os03g01210,LOC_Os03g01210.2,135224,137675,+,N,Y,N,uncharacterized Cys-rich domain containing protein  putative  expressed
Chr3,LOC_Os03g01216,LOC_Os03g01216.1,139453,144463,+,N,Y,Y,phosphatidylserine decarboxylase  putative  expressed
Chr3,LOC_Os03g01222,LOC_Os03g01222.1,144603,147769,+,N,Y,Y,formyl transferase  putative  expressed
Chr3,LOC_Os03g01222,LOC_Os03g01222.4,144622,147769,+,N,Y,N,formyl transferase  putative  expressed
Chr3,LOC_Os03g01222,LOC_Os03g01222.3,144648,147769,+,N,Y,N,formyl transferase  putative  expressed
Chr3,LOC_Os03g01222,LOC_Os03g01222.2,144648,147769,+,N,Y,N,formyl transferase  putative  expressed
Chr3,LOC_Os03g01230,LOC_Os03g01230.2,148181,149057,+,N,Y,N,DNA-directed RNA polymerase II subunit RPB9  putative  expressed
Chr3,LOC_Os03g01230,LOC_Os03g01230.1,148183,149057,+,N,Y,Y,DNA-directed RNA polymerase II subunit RPB9  putative  expressed
Chr3,LOC_Os03g01240,LOC_Os03g01240.1,152358,170125,+,N,Y,Y,CCR4-Not complex component  Not1domain containing protein  expressed
Chr3,LOC_Os03g01250,LOC_Os03g01250.1,169854,175129,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01250,LOC_Os03g01250.2,171311,175129,-,N,Y,N,expressed protein
Chr3,LOC_Os03g01250,LOC_Os03g01250.4,171311,175129,-,N,Y,N,expressed protein
Chr3,LOC_Os03g01260,LOC_Os03g01260.1,179154,180206,-,N,Y,Y,expansin precursor  putative  expressed
Chr3,LOC_Os03g01270,LOC_Os03g01270.1,189333,191297,+,N,Y,Y,expansin precursor  putative  expressed
Chr3,LOC_Os03g01270,LOC_Os03g01270.2,189333,191297,+,N,Y,N,expansin precursor  putative  expressed
Chr3,LOC_Os03g01280,LOC_Os03g01280.1,196580,197599,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01290,LOC_Os03g01290.1,202527,205750,+,N,Y,Y,peptide transporter PTR2  putative  expressed
Chr3,LOC_Os03g01300,LOC_Os03g01300.1,208330,211839,+,N,Y,Y,LTPL114 - Protease inhibitor/seed storage/LTP family protein precursor  expressed
Chr3,LOC_Os03g01320,LOC_Os03g01320.2,219977,221070,+,Y,Y,N,LTPL116 - Protease inhibitor/seed storage/LTP family protein precursor  expressed
Chr3,LOC_Os03g01320,LOC_Os03g01320.1,219977,221070,+,Y,Y,Y,LTPL116 - Protease inhibitor/seed storage/LTP family protein precursor  expressed
Chr3,LOC_Os03g01330,LOC_Os03g01330.1,235794,236750,-,N,Y,Y,sodium/potassium/calcium exchanger 1  putative  expressed
Chr3,LOC_Os03g01340,LOC_Os03g01340.1,260404,262046,+,Y,N,Y,transposon protein  putative  unclassified
Chr3,LOC_Os03g01350,LOC_Os03g01350.1,262977,266238,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01360,LOC_Os03g01360.1,268599,272800,+,N,Y,N,expressed protein
Chr3,LOC_Os03g01360,LOC_Os03g01360.3,268599,274808,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01360,LOC_Os03g01360.2,268599,274808,+,N,Y,N,expressed protein
Chr3,LOC_Os03g01360,LOC_Os03g01360.4,268599,277405,+,N,Y,N,expressed protein
Chr3,LOC_Os03g01365,LOC_Os03g01365.1,277183,278705,-,N,Y,Y,protein phosphatase-2c  putative  expressed
Chr3,LOC_Os03g01380,LOC_Os03g01380.1,281563,283893,+,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01390,LOC_Os03g01390.1,284933,286798,-,Y,Y,Y,transposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01400,LOC_Os03g01400.1,288792,289958,-,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01410,LOC_Os03g01410.1,293668,294916,-,N,Y,Y,Leucine Rich Repeat family protein  expressed
Chr3,LOC_Os03g01420,LOC_Os03g01420.1,295311,297898,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01436,LOC_Os03g01436.1,304170,305342,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01442,LOC_Os03g01442.1,305842,308488,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01450,LOC_Os03g01450.1,309073,310402,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01460,LOC_Os03g01460.1,311887,312675,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01470,LOC_Os03g01470.1,313806,315335,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01430,LOC_Os03g01430.1,316096,317555,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01490,LOC_Os03g01490.1,322414,323643,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01500,LOC_Os03g01500.1,324860,325982,-,N,N,Y,hypothetical protein
Chr3,LOC_Os03g01520,LOC_Os03g01520.1,335493,338711,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01530,LOC_Os03g01530.1,339986,341796,+,N,Y,Y,tubulin/FtsZ domain containing protein  putative  expressed
Chr3,LOC_Os03g01540,LOC_Os03g01540.1,344307,347004,-,N,Y,Y,DNA binding protein  putative  expressed
Chr3,LOC_Os03g01550,LOC_Os03g01550.1,348339,352329,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01560,LOC_Os03g01560.1,355863,356213,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01570,LOC_Os03g01570.1,356719,359721,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01570,LOC_Os03g01570.2,356728,359721,-,N,Y,N,expressed protein
Chr3,LOC_Os03g01580,LOC_Os03g01580.2,361703,367356,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01580,LOC_Os03g01580.1,361703,367356,-,N,Y,N,expressed protein
Chr3,LOC_Os03g01590,LOC_Os03g01590.1,370151,374690,-,N,Y,Y,PAIR1  putative  expressed
Chr3,LOC_Os03g01590,LOC_Os03g01590.2,370325,374690,-,N,Y,N,PAIR1  putative  expressed
Chr3,LOC_Os03g01600,LOC_Os03g01600.1,375276,380046,-,N,Y,Y,aminotransferase domain containing protein  putative  expressed
Chr3,LOC_Os03g01610,LOC_Os03g01610.1,386873,388100,+,N,Y,Y,expansin precursor  putative  expressed
Chr3,LOC_Os03g01614,LOC_Os03g01614.1,388274,388906,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01620,LOC_Os03g01620.1,389757,390047,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01630,LOC_Os03g01630.1,391571,392374,+,N,Y,Y,expansin precursor  putative  expressed
Chr3,LOC_Os03g01640,LOC_Os03g01640.1,397341,398440,+,N,Y,Y,expansin precursor  putative  expressed
Chr3,LOC_Os03g01650,LOC_Os03g01650.1,401057,402286,-,N,Y,Y,expansin precursor  putative  expressed
Chr3,LOC_Os03g01660,LOC_Os03g01660.1,405708,410152,-,N,Y,Y,SKP1  putative  expressed
Chr3,LOC_Os03g01670,LOC_Os03g01670.1,413344,416019,+,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01684,LOC_Os03g01684.1,416716,428610,+,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01700,LOC_Os03g01700.1,430478,432878,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01710,LOC_Os03g01710.1,440341,447588,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01720,LOC_Os03g01720.1,452399,459305,+,N,Y,Y,protein binding protein  putative  expressed
Chr3,LOC_Os03g01730,LOC_Os03g01730.2,465178,468046,+,N,Y,N,expressed protein
Chr3,LOC_Os03g01730,LOC_Os03g01730.4,465178,468046,+,N,Y,N,expressed protein
Chr3,LOC_Os03g01730,LOC_Os03g01730.1,465178,468046,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01730,LOC_Os03g01730.3,465178,468046,+,N,Y,N,expressed protein
Chr3,LOC_Os03g01730,LOC_Os03g01730.6,465178,468046,+,N,Y,N,expressed protein
Chr3,LOC_Os03g01730,LOC_Os03g01730.5,466023,468046,+,N,Y,N,expressed protein
Chr3,LOC_Os03g01740,LOC_Os03g01740.1,470268,471096,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01750,LOC_Os03g01750.1,471453,476645,-,N,Y,Y,dual specificity protein phosphatase  putative  expressed
Chr3,LOC_Os03g01750,LOC_Os03g01750.4,471453,476739,-,N,Y,N,dual specificity protein phosphatase  putative  expressed
Chr3,LOC_Os03g01750,LOC_Os03g01750.7,471453,476645,-,N,Y,N,dual specificity protein phosphatase  putative  expressed
Chr3,LOC_Os03g01750,LOC_Os03g01750.5,471453,476641,-,N,Y,N,dual specificity protein phosphatase  putative  expressed
Chr3,LOC_Os03g01750,LOC_Os03g01750.6,471453,476645,-,N,Y,N,dual specificity protein phosphatase  putative  expressed
Chr3,LOC_Os03g01750,LOC_Os03g01750.2,471453,476645,-,N,Y,N,dual specificity protein phosphatase  putative  expressed
Chr3,LOC_Os03g01760,LOC_Os03g01760.1,479167,482008,+,N,Y,Y,exostosin family domain containing protein  expressed
Chr3,LOC_Os03g01760,LOC_Os03g01760.2,479167,482008,+,N,Y,N,exostosin family domain containing protein  expressed
Chr3,LOC_Os03g01770,LOC_Os03g01770.1,482919,484763,-,N,Y,Y,rhodanese  putative  expressed
Chr3,LOC_Os03g01780,LOC_Os03g01780.1,485271,486556,+,Y,Y,Y,transposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01790,LOC_Os03g01790.1,488489,492440,+,N,Y,Y,zinc finger  C3HC4 type domain containing protein  expressed
Chr3,LOC_Os03g01800,LOC_Os03g01800.1,492652,494093,-,N,Y,Y,glycosyl hydrolases family 16  putative  expressed
Chr3,LOC_Os03g01810,LOC_Os03g01810.1,497751,499662,+,N,Y,Y,SNF7 domain containing protein  putative  expressed
Chr3,LOC_Os03g01820,LOC_Os03g01820.1,499917,501855,-,N,Y,Y,fatty acid hydroxylase  putative  expressed
Chr3,LOC_Os03g01830,LOC_Os03g01830.1,505922,509294,+,Y,Y,Y,DEAD-box ATP-dependent RNA helicase  putative  expressed
Chr3,LOC_Os03g01840,LOC_Os03g01840.1,509215,510284,-,Y,Y,Y,knotted 1-binding protein 36  putative  expressed
Chr3,LOC_Os03g01850,LOC_Os03g01850.1,510595,514786,+,N,Y,Y,cyclin-dependent kinase A-1  putative  expressed
Chr3,LOC_Os03g01850,LOC_Os03g01850.2,511272,514786,+,N,Y,N,cyclin-dependent kinase A-1  putative  expressed
Chr3,LOC_Os03g01860,LOC_Os03g01860.1,519135,519795,+,N,N,Y,hypothetical protein
Chr3,LOC_Os03g01870,LOC_Os03g01870.1,524008,525278,+,N,Y,Y,no apical meristem protein  putative  expressed
Chr3,LOC_Os03g01880,LOC_Os03g01880.1,537609,542771,+,N,Y,Y,possible lysine decarboxylase domain containing protein  expressed
Chr3,LOC_Os03g01880,LOC_Os03g01880.2,537612,542771,+,N,Y,N,possible lysine decarboxylase domain containing protein  expressed
Chr3,LOC_Os03g01890,LOC_Os03g01890.1,549823,557909,+,N,Y,Y,START domain containing protein  expressed
Chr3,LOC_Os03g01890,LOC_Os03g01890.2,549823,555802,+,N,Y,N,START domain containing protein  expressed
Chr3,LOC_Os03g01900,LOC_Os03g01900.1,559227,559947,-,N,Y,Y,40S ribosomal protein S17  putative  expressed
Chr3,LOC_Os03g01910,LOC_Os03g01910.1,560210,562685,-,N,Y,Y,transcription factor BTF3  putative  expressed
Chr3,LOC_Os03g01910,LOC_Os03g01910.2,560210,561952,-,N,Y,N,transcription factor BTF3  putative  expressed
Chr3,LOC_Os03g01915,LOC_Os03g01915.1,563314,564415,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01920,LOC_Os03g01920.1,567974,570856,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01930,LOC_Os03g01930.1,571684,574066,+,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01940,LOC_Os03g01940.1,574191,580704,-,Y,Y,Y,expressed protein
Chr3,LOC_Os03g01940,LOC_Os03g01940.3,574191,580629,-,Y,Y,N,expressed protein
Chr3,LOC_Os03g01940,LOC_Os03g01940.2,574191,580704,-,Y,Y,N,expressed protein
Chr3,LOC_Os03g01950,LOC_Os03g01950.1,592299,598044,-,Y,Y,Y,transposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01960,LOC_Os03g01960.1,598920,599960,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01970,LOC_Os03g01970.1,602461,609356,+,N,Y,Y,THO complex subunit 1  putative  expressed
Chr3,LOC_Os03g01980,LOC_Os03g01980.1,609881,614456,+,N,Y,Y,KIP1  putative  expressed
Chr3,LOC_Os03g01990,LOC_Os03g01990.1,621022,624074,+,N,Y,Y,lysM domain containing protein  putative  expressed
Chr3,LOC_Os03g02010,LOC_Os03g02010.4,632634,636333,+,N,Y,Y,DNA methyltransferase protein  putative  expressed
Chr3,LOC_Os03g02020,LOC_Os03g02020.1,636786,639372,+,N,Y,N,stress responsive A/B Barrel domain containing protein  expressed
Chr3,LOC_Os03g02020,LOC_Os03g02020.5,636766,639459,+,N,Y,N,stress responsive A/B Barrel domain containing protein  expressed
Chr3,LOC_Os03g02020,LOC_Os03g02020.3,636786,639459,+,N,Y,N,stress responsive A/B Barrel domain containing protein  expressed
Chr3,LOC_Os03g02020,LOC_Os03g02020.6,636786,639459,+,N,Y,N,stress responsive A/B Barrel domain containing protein  expressed
Chr3,LOC_Os03g02020,LOC_Os03g02020.2,636725,639372,+,N,Y,Y,stress responsive A/B Barrel domain containing protein  expressed
Chr3,LOC_Os03g02020,LOC_Os03g02020.4,636786,639459,+,N,Y,N,stress responsive A/B Barrel domain containing protein  expressed
Chr3,LOC_Os03g02030,LOC_Os03g02030.1,640597,645675,-,N,Y,Y,folylpolyglutamate synthase  mitochondrial precursor  putative  expressed
Chr3,LOC_Os03g02030,LOC_Os03g02030.2,640597,645675,-,N,Y,N,folylpolyglutamate synthase  mitochondrial precursor  putative  expressed
Chr3,LOC_Os03g02040,LOC_Os03g02040.1,646947,649469,-,N,Y,Y,remorin  putative  expressed
Chr3,LOC_Os03g02050,LOC_Os03g02050.1,651993,652803,-,N,Y,Y,LTPL151 - Protease inhibitor/seed storage/LTP family protein precursor  expressed
Chr3,LOC_Os03g02060,LOC_Os03g02060.1,653199,654378,+,N,N,Y,hypothetical protein
Chr3,LOC_Os03g02070,LOC_Os03g02070.1,656450,657834,-,N,Y,Y,heavy-metal-associated domain-containing protein  putative  expressed
Chr3,LOC_Os03g02070,LOC_Os03g02070.2,656450,657827,-,N,Y,N,heavy-metal-associated domain-containing protein  putative  expressed
Chr3,LOC_Os03g02080,LOC_Os03g02080.1,658618,661585,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g02080,LOC_Os03g02080.2,658651,661585,+,N,Y,N,expressed protein
Chr3,LOC_Os03g02090,LOC_Os03g02090.1,662280,666761,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g02100,LOC_Os03g02100.2,666221,674058,+,N,Y,N,valyl-tRNA synthetase  putative  expressed
Chr3,LOC_Os03g02100,LOC_Os03g02100.1,666913,674058,+,N,Y,Y,valyl-tRNA synthetase  putative  expressed
Chr3,LOC_Os03g02110,LOC_Os03g02110.2,674687,681881,+,N,Y,N,WD domain  G-beta repeat domain containing protein  expressed
Chr3,LOC_Os03g02110,LOC_Os03g02110.1,674687,681881,+,N,Y,Y,WD domain  G-beta repeat domain containing protein  expressed
Chr3,LOC_Os03g02120,LOC_Os03g02120.1,682780,686714,-,Y,Y,Y,transposon protein  putative  Mariner sub-class  expressed
Chr3,LOC_Os03g02130,LOC_Os03g02130.1,688570,689879,-,Y,N,Y,hypothetical protein
Chr3,LOC_Os03g02140,LOC_Os03g02140.1,693070,696825,-,Y,Y,Y,transposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g02150,LOC_Os03g02150.1,698193,708134,+,N,Y,Y,adapitin protein  putative  expressed
Chr3,LOC_Os03g02150,LOC_Os03g02150.2,698193,708688,+,N,Y,N,adapitin protein  putative  expressed
Chr3,LOC_Os03g02160,LOC_Os03g02160.3,717447,720837,+,N,Y,Y,zinc finger C-x8-C-x5-C-x3-H type family protein  expressed
Chr3,LOC_Os03g02160,LOC_Os03g02160.2,717447,720837,+,N,Y,N,zinc finger C-x8-C-x5-C-x3-H type family protein  expressed
Chr3,LOC_Os03g02160,LOC_Os03g02160.1,717447,720837,+,N,Y,N,zinc finger C-x8-C-x5-C-x3-H type family protein  expressed
Chr3,LOC_Os03g02170,LOC_Os03g02170.1,721113,725227,-,N,Y,Y,transmembrane and coiled-coil domain-containing protein 4  putative  expressed
Chr3,LOC_Os03g02170,LOC_Os03g02170.2,721113,725295,-,N,Y,N,transmembrane and coiled-coil domain-containing protein 4  putative  expressed
Chr3,LOC_Os03g02170,LOC_Os03g02170.3,721113,725227,-,N,Y,N,transmembrane and coiled-coil domain-containing protein 4  putative  expressed
Chr3,LOC_Os03g02180,LOC_Os03g02180.1,726213,728004,-,N,Y,Y,cytochrome P450  putative  expressed
Chr3,LOC_Os03g02190,LOC_Os03g02190.1,732486,734247,-,N,Y,Y,protein kinase domain containing protein  expressed
Chr3,LOC_Os03g02200,LOC_Os03g02200.3,736183,739882,+,N,Y,N,thymidine kinase  putative  expressed
Chr3,LOC_Os03g02200,LOC_Os03g02200.1,736183,739882,+,N,Y,Y,thymidine kinase  putative  expressed
Chr3,LOC_Os03g02200,LOC_Os03g02200.2,736183,739882,+,N,Y,N,thymidine kinase  putative  expressed
Chr3,LOC_Os03g02210,LOC_Os03g02210.1,740381,743152,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g02230,LOC_Os03g02230.1,744212,744808,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g02240,LOC_Os03g02240.1,752024,756170,-,N,Y,Y,AT-GTL1  putative  expressed
Chr3,LOC_Os03g02255,LOC_Os03g02255.1,762584,763013,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g02260,LOC_Os03g02260.1,766648,771264,-,N,Y,Y,DnaK family protein  putative  expressed
Chr3,LOC_Os03g02270,LOC_Os03g02270.1,771440,777098,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g02280,LOC_Os03g02280.1,781076,781955,+,N,Y,Y,DUF584 domain containing protein  putative  expressed
Chr3,LOC_Os03g02290,LOC_Os03g02290.1,788208,791596,+,N,Y,Y,kinesin motor domain containing protein  putative  expressed
Chr3,LOC_Os03g02290,LOC_Os03g02290.2,788208,791596,+,N,Y,N,kinesin motor domain containing protein  putative  expressed
Chr3,LOC_Os03g02300,LOC_Os03g02300.1,793649,794329,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g02310,LOC_Os03g02310.1,795364,798116,-,N,Y,Y,RNA binding protein  putative  expressed
Chr3,LOC_Os03g02320,LOC_Os03g02320.1,800027,809302,+,N,Y,Y,STE_PAK_Ste20_STLK.3 - STE kinases include homologs to sterile 7  sterile 11 and sterile 20 from yeast  expressed
Chr3,LOC_Os03g02320,LOC_Os03g02320.2,800027,809302,+,N,Y,N,STE_PAK_Ste20_STLK.3 - STE kinases include homologs to sterile 7  sterile 11 and sterile 20 from yeast  expressed
Chr3,LOC_Os03g02330,LOC_Os03g02330.1,812822,814725,-,N,Y,Y,AAA-type ATPase family protein  putative  expressed
Chr3,LOC_Os03g02340,LOC_Os03g02340.1,818858,821112,+,Y,Y,Y,expressed protein
Chr3,LOC_Os03g02350,LOC_Os03g02350.1,822250,828405,+,Y,Y,Y,transposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g02360,LOC_Os03g02360.1,829038,832299,-,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g02370,LOC_Os03g02370.1,833445,836809,+,Y,Y,Y,transposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g02380,LOC_Os03g02380.1,842386,846445,+,N,Y,Y,major facilitator superfamily domain-containing protein 5  putative  expressed
Chr3,LOC_Os03g02380,LOC_Os03g02380.2,842386,846445,+,N,Y,N,major facilitator superfamily domain-containing protein 5  putative  expressed
Chr3,LOC_Os03g02390,LOC_Os03g02390.1,847853,849147,-,N,Y,Y,mitochondrial import inner membrane translocase subunit Tim17  putative  expressed
Chr3,LOC_Os03g02400,LOC_Os03g02400.1,850765,852123,+,N,Y,Y,plastocyanin-like domain containing protein  putative  expressed
Chr3,LOC_Os03g02410,LOC_Os03g02410.1,852259,857160,-,N,Y,Y,GHMP kinases ATP-binding protein  putative  expressed
Chr3,LOC_Os03g02410,LOC_Os03g02410.2,852383,857160,-,N,Y,N,GHMP kinases ATP-binding protein  putative  expressed
Chr3,LOC_Os03g02410,LOC_Os03g02410.3,852383,856556,-,N,Y,N,GHMP kinases ATP-binding protein  putative  expressed
Chr3,LOC_Os03g02420,LOC_Os03g02420.1,857754,859760,-,N,Y,Y,KH domain containing protein  putative  expressed
Chr3,LOC_Os03g02430,LOC_Os03g02430.1,861240,862777,-,N,Y,Y,PPR repeat domain containing protein  putative  expressed
Chr3,LOC_Os03g02440,LOC_Os03g02440.1,870491,876537,+,N,Y,Y,WD repeat-containing protein 44  putative  expressed
Chr3,LOC_Os03g02440,LOC_Os03g02440.2,870800,876537,+,N,Y,N,WD repeat-containing protein 44  putative  expressed
Chr3,LOC_Os03g02450,LOC_Os03g02450.2,878838,880702,+,N,Y,N,pyridoxamine 5'-phosphate oxidase family protein  putative  expressed
Chr3,LOC_Os03g02450,LOC_Os03g02450.1,878838,881507,+,N,Y,Y,pyridoxamine 5'-phosphate oxidase family protein  putative  expressed
Chr3,LOC_Os03g02460,LOC_Os03g02460.1,884559,887005,-,N,Y,Y,retinol dehydrogenase  putative  expressed
Chr3,LOC_Os03g02460,LOC_Os03g02460.2,884559,886943,-,N,Y,N,retinol dehydrogenase  putative  expressed
Chr3,LOC_Os03g02470,LOC_Os03g02470.1,887171,889518,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g02470,LOC_Os03g02470.3,887171,888668,-,N,Y,N,expressed protein
Chr3,LOC_Os03g02470,LOC_Os03g02470.2,887171,889518,-,N,Y,N,expressed protein
Chr3,LOC_Os03g02480,LOC_Os03g02480.1,906156,909933,+,N,Y,Y,inner membrane protein  putative  expressed
Chr3,LOC_Os03g02500,LOC_Os03g02500.1,917449,921602,-,Y,Y,Y,retrotransposon protein  putative  Ty1-copia subclass  expressed
Chr3,LOC_Os03g02514,LOC_Os03g02514.1,922684,928190,+,N,Y,Y,hydrolase  alpha/beta fold family protein  putative  expressed
Chr3,LOC_Os03g02514,LOC_Os03g02514.2,925827,928190,+,N,Y,N,hydrolase  alpha/beta fold family protein  putative  expressed
Chr3,LOC_Os03g02530,LOC_Os03g02530.1,932238,934776,+,N,Y,Y,OsRhmbd7 - Putative Rhomboid homologue  expressed
Chr3,LOC_Os03g02540,LOC_Os03g02540.1,935043,939214,-,N,Y,Y,proteasome subunit  putative  expressed
Chr3,LOC_Os03g02544,LOC_Os03g02544.1,939338,939908,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g02550,LOC_Os03g02550.1,942694,945066,+,N,Y,Y,OsFBX76 - F-box domain containing protein  expressed
Chr3,LOC_Os03g02560,LOC_Os03g02560.1,945959,949062,+,N,Y,Y,cyclin-like F-box  putative  expressed
Chr3,LOC_Os03g02570,LOC_Os03g02570.1,950273,952602,-,N,Y,Y,dihydrodipicolinate reductase  putative  expressed
Chr3,LOC_Os03g02580,LOC_Os03g02580.1,955871,957478,+,N,Y,Y,armadillo  putative  expressed
Chr3,LOC_Os03g02590,LOC_Os03g02590.3,956806,960249,-,N,Y,N,peroxisomal biogenesis factor 11  putative  expressed
Chr3,LOC_Os03g02590,LOC_Os03g02590.2,956806,960245,-,N,Y,Y,peroxisomal biogenesis factor 11  putative  expressed
Chr3,LOC_Os03g02590,LOC_Os03g02590.4,956806,960245,-,N,Y,N,peroxisomal biogenesis factor 11  putative  expressed
